id	title	description	google_product_category	product_type	link	image_link	additional_image_link	condition	availability	availability_date	price	brand	mpn	shipping(price)
109FTGRY	Freeman Sofa in Grey Tweed	"Our ode to mid century modern American furniture, the Freeman  creates a striking statement in any room.  A great investment for a chair with timeless design.  Two side cushions included as pictured."	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/freeman-sofa-gray-tweed.html	http://www.capsulehome.com/media/catalog/product/f/r/freeman-sofa_grey_front_l3_gradient_1.jpg		new	in stock		999	VOLO	109FTGRY	0.00 USD
1011FTGRYL	"Kellan Sectional Sofa in Grey Tweed, Left Chaise"	"With clean, precise lines and gently tapered legs, the Kellan Sectional sofa is elegant, simple, and exceptionally comfortable."	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/kellan-sectional-sofa-in-gray-tweed.html	http://www.capsulehome.com/media/catalog/product/s/e/sectional_sofa_front_grey_l_3.jpg		new	in stock		1999	VOLO	1011FTGRYL	0.00 USD
1011FTGRYR	"Kellan Sectional Sofa in Grey Tweed, Right"	"With clean, precise lines and gently tapered legs, the Kellan Sectional sofa is elegant, simple, and exceptionally comfortable."	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/kellan-sectional-sofa-in-gray-tweed-307.html	http://www.capsulehome.com/media/catalog/product/s/e/sectional_sofa_front_grey_r.jpg		new	in stock		1999	VOLO	1011FTGRYR	0.00 USD
1011FWLGL	"Kellan Sectional Sofa in Light Gray, Left Chaise"	"With clean, precise lines and gently tapered legs, the Kellan Sectional sofa is elegant, simple, and exceptionally comfortable."	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/kellan-sectional-sofa-in-light-gray.html	http://www.capsulehome.com/media/catalog/product/s/e/sectional_sofa_front_light_grey_l.jpg		new	in stock		1999	VOLO	1011FWLGL	0.00 USD
1011FWLGR	"Kellan Sectional Sofa in Light Gray, Right"	"With clean, precise lines and gently tapered legs, the Kellan Sectional sofa is elegant, simple, and exceptionally comfortable."	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/kellan-sectional-sofa-in-light-gray-298.html	http://www.capsulehome.com/media/catalog/product/s/e/sectional_sofa_front_light_grey_r.jpg		new	in stock		1999	VOLO	1011FWLGR	0.00 USD
1011LNOATL	"Kellan Sectional Sofa in Oatmeal Linen, Left Chaise"	"With clean, precise lines and gently tapered legs, the Kellan Sectional sofa is elegant, simple, and exceptionally comfortable."	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/kellan-sectional-sofa-in-oatmeal-linen.html	http://www.capsulehome.com/media/catalog/product/s/e/sectional_sofa_front_oatmeal_l.jpg		new	in stock		1999	VOLO	1011LNOATL	0.00 USD
1011LNOATR	"Kellan Sectional Sofa in Oatmeal Linen, Right Chaise"	"With clean, precise lines and gently tapered legs, the Kellan Sectional sofa is elegant, simple, and exceptionally comfortable."	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/kellan-sectional-sofa-in-oatmeal-linen-306.html	http://www.capsulehome.com/media/catalog/product/s/e/sectional_sofa_front_oatmeal_r.jpg		new	in stock		1999	VOLO	1011LNOATR	0.00 USD
1012FTGRYL	"Goodwin Sectional in Grey Tweed, Left Chaise"	"With clean, precise lines and metallic legs, the Goodwin Sectional sofa is functional, accommodating, and exceptionally comfortable."	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/goodwin-sectional-sofa-with-left-chaise-gray-tweed.html	http://www.capsulehome.com/media/catalog/product/g/o/goodwin_sectional_gray_front_content_w.jpg		new	in stock		1599	VOLO	1012FTGRYL	0.00 USD
1012FTGRYR	"Goodwin Sectional in Grey Tweed, Right Chaise"	"With clean, precise lines and metallic legs, the Goodwin Sectional sofa is functional, accommodating, and exceptionally comfortable."	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/goodwin-sectional-sofa-with-right-chaise-gray-tweed.html	http://www.capsulehome.com/media/catalog/product/g/o/goodwin_sectional_gray_front_content_w_right.jpg		new	in stock		1599	VOLO	1012FTGRYR	0.00 USD
10132FTGRY	Sherman Armchair in Grey Tweed	The classically modern Sherman brings clean lines with squared off seat and back cushions for a cool and contemporary feel.	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/sherman-armchair-in-grey-tweed.html	http://www.capsulehome.com/media/catalog/product/1/0/10132ftgry-content-w.jpg		new	in stock		649	VOLO	10132FTGRY	0.00 USD
