ID,"Search Query",Results,Hits
975,"charlie sleeper sectional in grey tweed",28,1
974,"charlie sleeper",0,1
973,Mellon,0,2
972,"FREEMAN OTTOMAN, OATMEAL LINEN",29,1
971,"freeman light grey",23,2
970,"volo design leather",6,2
969,"Mid century sofa",19,2
968,"Harris stool",1,2
967,sideboard,0,1
966,Daubed,0,1
965,95&quot;,0,3
964,100&quot;,0,2
963,"casper sofa",19,3
962,Gary,0,1
958,sample,0,3
957,samples,0,2
956,"White Gravity bar stool",1,1
953,"chaise lounge",4,2
952,"Sage leather",6,2
951,"Dana Floor Lamp, Yellow",1,1
950,132YEL,0,1
948,"dressing table",1,2
947,"Grey coach",16,1
946,"do all sofas have webbing suspension",1,3
945,"Freeman's sofa",45,3
944,"hathaway sectional",28,2
943,"Black chair",42,3
942,"Kitchen chair",32,2
941,"freeman small",25,1
938,"Dining chairs",3,2
937,Chesterfield,0,1
936,"linen sofa gret",61,3
932,bistro,0,1
931,letto,0,1
928,"Exceptional Designs Cheyenne Cafe Leather Sofa",54,3
927,"stool chairs",8,2
926,Midcentury,0,1
925,"brown letter sofas",1,3
924,"leather convertible",11,2
922,1020fwlg,1,1
921,finance,0,1
918,"sofa beds",45,2
917,1015FTGRYR,1,1
915,1016,0,1
914,hooper,0,1
913,goodwijn,0,1
911,biltmore,0,2
907,"promotion codes",0,3
905,"grey pinstripe sofa",53,3
904,"pink sofa",45,2
903,"sheen floor lamp in black",118,1
902,"sheen floor lamp",22,3
901,pouf,0,1
900,counterstool,0,1
898,"Order status",0,2
897,camer,15,1
896,"Distressed armchair",27,2
895,"Distressed chair",55,1
894,Lether,0,1
892,"Grey couch",16,3
891,Charlie,0,3
890,s369609080,0,1
889,consoles,0,1
888,136wht,1,1
887,"feather sectional",20,3
886,"Sale sofa",44,3
885,"Pattern chairs",14,1
884,"cooper love seat",12,1
883,"cameron loveseat",15,3
881,1015FTGRYL,1,1
880,"Kellan Sectional Sofa with Left",50,2
879,"captain wingback accent chairs",14,1
878,"captains wing back chairs",14,3
877,"sand linen pillows",33,1
876,"workman cofee",0,1
874,grac,1,1
872,sink,0,1
871,8110-85w,0,1
870,8110,0,1
869,1015FTGRYL1,0,1
868,INSTRUCTIONS,0,1
867,"white leather",36,1
866,"stone leather",12,1
864,lexi,0,1
863,"Hathaway sofa oatmeal linen",61,2
862,hayden,0,1
861,hamilton,0,1
859,single,3,1
858,1017FTGRYR,1,1
856,"Leather foot stool",22,2
854,"Niro Stool",11,1
853,"office furniture",0,2
852,"spencer\",0,1
851,Curtain,0,1
850,nightstand,0,1
849,"Accent pillows",0,1
848,"Volo Modern Sectional Sofa by Pianca #18886",52,2
847,Small,0,1
846,"mid century modern coffee table",10,1
845,"midcentury modern coffee table",10,2
844,"midcentury modern",0,2
843,"freeman medium",23,2
842,"Love seats",0,1
841,"wood table",16,1
840,mawood,0,1
839,florence,0,1
838,mith,2,1
837,burtin,0,1
836,cushions,0,1
835,kendal,0,1
834,keller,0,1
833,"counter stool",11,1
832,caree,0,2
831,jobs,0,2
830,Warrantee,0,1
827,microfiber,0,1
826,"Promo code",0,2
825,linen,39,2
824,"the volo",12,2
823,hawthorne,0,1
822,ha,85,1
821,1210FWLG,1,1
820,"leather furniture",12,1
819,down,0,1
818,"down feather",0,1
817,bean,2,3
816,hairpin,0,3
814,hopkin,1,1
813,lotus,0,3
812,lamps,0,1
811,"shabby chic",0,2
810,"spencer stool;",1,1
809,"cameron light grey",53,2
808,"camerona rmchair",22,1
807,custom,0,1
806,"Quincy Sectional Sofa in Charcoal Blue, Right Chaise",109,3
805,"executive office chairs",14,2
803,"tolix chairs",14,1
802,Витрина,0,1
801,"wooden bench",3,2
800,Dogs,0,1
798,"counter stools",4,1
797,"quinn table",11,3
796,chanel,0,1
795,"brushed aluminum chair",55,1
794,15GS,1,1
793,"metal chair",57,1
792,austin,0,1
790,stuart,0,1
789,newman,1,3
786,"Hathaway chair",60,1
785,"brown leather",12,3
781,freman,0,1
780,"Leather couch",12,2
779,Swing,0,1
778,"volo elora lamp",23,2
777,"Freeman Medium Ottoman in Oatmeal Linen",110,2
775,"Cameron arm chair",66,1
774,Teardrop,2,2
772,"cameron feet",15,1
771,"hathaway arm chair",60,1
770,"Home direct",0,1
768,cabinets,0,1
766,colin,0,3
765,"collin sofa",43,3
763,leatehr,0,1
761,"Customer service",0,1
760,"gravity stool",11,3
759,pierre,0,1
758,box,0,1
757,"pro,emade",0,1
755,couches,0,2
753,"Distressed leather armchair",32,1
752,Glass,0,3
751,"Ladder shelf",0,1
750,"counter arm chairs",38,2
749,electronics,0,1
748,electrictronic,0,1
747,ee,56,1
745,"Marie side chair",57,1
743,"Ottomon, Light Gray",41,3
742,"Freeman Ottoman, Light Gray",59,1
741,"Freeman Otoman Light Gray",56,1
740,"living room set",22,2
739,mattresses,0,1
736,154,1,1
735,113,10,1
734,1127,3,1
733,1117,1,1
732,153,1,2
731,124,2,1
730,151,1,2
728,117,3,2
727,116,4,2
726,115,4,2
725,114,3,2
724,102ft,1,2
722,"Yay tyiRtgvbb",0,2
721,Rtgvbb,0,1
720,bunkbeds,0,1
719,storage,0,1
718,1/catalogsearch/result/?q=1,0,3
715,"rocking chair and baby bed",68,3
713,children,0,2
712,1116WHT,1,1
711,"Workman Side Table in Steel",100,1
710,"Workman Long Coffee Table",10,1
709,"Workman Long Coffee Table in Steel",100,1
708,"Workman Coffee Table in Steel",100,1
707,"Wall art",1,1
706,rugs,0,2
705,rug,0,2
704,1012FTGRYR,1,1
703,1011FTGRY,2,3
702,"console tables",0,1
701,woodland,0,1
700,"leather apartment size sofa",53,2
698,Financing,0,1
696,hans,0,1
695,burton,1,2
692,"Cameron Armchair in oatmeal",109,3
690,"volo table",10,3
689,hathoway,0,1
688,1202WD,1,1
687,1201blk,1,1
686,1201WHT,1,1
685,1202WHT,1,2
683,"elora lamp",23,1
682,"light blue",36,1
680,"milton sectionals",6,1
678,"sherman armchair",24,2
677,171RED,1,2
676,138GRY,1,2
675,119BLK,1,1
674,Sloan,0,1
672,1132GRY,1,2
671,139BLU,1,1
670,140BLK,1,1
669,140WHT,1,1
668,1352WHT,1,1
667,1353WHT,1,1
666,129SIL,1,3
665,1129ST,1,3
663,133BLK,1,2
661,1130GR,1,3
659,1132T,1,1
658,139WHT,1,1
657,139BLK,1,2
656,120BLK,1,2
655,121BLK,1,3
654,117RED,2,1
651,138TUR,1,1
650,172STW,1,3
647,1133BLU,1,2
643,"sofa covers",43,3
642,"leda desk",0,1
640,Elwood,0,1
639,camden,0,1
638,"Freeman leather",33,3
637,"Elora Floor Lamp",23,3
636,"Promenade Chairs, Red (Set of 2)",73,1
635,"Promenade Chair",62,1
634,"grand floor",19,2
633,"Elora Floor",19,3
632,"Crosby Chair in Beige",125,1
631,"2 x Wire Chair",185,2
630,"2 x Pierce Chair in Red",185,1
629,"Tweed chairs",42,3
627,"10% off",1,1
625,"fulham sofa",43,2
624,"leather armchair",32,1
623,dune,2,2
622,"assembly help",0,2
621,"office chair",57,1
620,"Grey tweed chairs",46,1
619,"volo ottoman",21,1
618,"volo design",0,1
617,"gray and black",68,1
616,"side tables",0,1
614,"floor lamp hinged",23,3
613,clint,0,1
612,"sinking chairs",16,1
610,"170 stool",11,1
609,170,1,1
608,129,4,1
607,121clr,0,3
606,121,8,2
605,1134,1,1
604,1133,1,1
603,1132,2,2
602,1131,1,1
601,1130,1,1
600,1129,1,1
599,1128,1,1
598,VOLO1092,0,1
597,3d,0,1
596,"milo chair",57,1
595,"emblem small",3,1
592,changer,0,1
591,"storage ottoman",21,1
590,"storage bench",3,1
